Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
31.08.2019,Myanmar,Sagaing,5.5,earthquake,tectonic,,,22.75,95.53,0,3,,0.476,100,10,--
07.09.2019,China,Sichuan,5.4,earthquake,tectonic,10,,29.55,104.79,1,74,2417,2.076,4880,293,--
08.09.2019,India,Madhya Pradesh,,EQ swarm,reservoir,,,22.71,76.27,0,0,,0.073,20,,--
09.09.2019,Tanzania,Katavi,5.5,earthquake,tectonic,,,-6.47,30.77,,2,,0.294,50,,--
09.09.2019,India,Jammu and Kashmir,4.9,earthquake,tectonic,,,33,76.17,0,0,,0.038,10,,--
09.09.2019,Venezuela,Sucre,5.5,earthquake,tectonic,6,VI,10.55,-64.41,0,0,10,0.091,2,1,--
10.09.2019,Armenia,Lori,4.7,earthquake,tectonic,,,41.1,44.28,0,0,0,0.038,10,0,--
13.09.2019,Russia,Altai,5.0,earthquake,tectonic,,,50.62,87.33,0,0,0,0.004,1,0,--
13.09.2019,Brazil,Maranhao,"3,2",earthquake,tectonic,,,-2.96,-44.74,0,0,0,0.008,2,0,--
14.09.2019,Turkey,Cankiri,4.9,earthquake,tectonic,5,,40.73,32.97,0,0,0,0.291,100,1,--
14.09.2019,Iran,West Azerbaijan,4.3,earthquake,tectonic,,,38.92,44.33,0,0,0,0.304,110,0,--
16.09.2019,China,Gansu,5.0,earthquake,tectonic,11,,38.60,100.35,0,,,0.038,10,,--
16.09.2019,India,Madhya Pradesh,,EQ swarm,reservoir,,,22.71,76.27,0,0,100,0.457,,1,--
16.09.2019,Iran,Gilan,4.7,earthquake,tectonic,,,36.60,50.02,0,1,0,0.114,5,0,--
17.09.2019,Iran,Kurdestan,"4,4",earthquake,tectonic,10,,"35,418",46.4,0,2,,0.178,,,--
19.09.2019,Indonesia,Jawa Timur,"6,1",earthquake,tectonic,626,IV,-6.03,111.85,0,0,0,0.008,2,0,--
